crypto_name,price_usd,market_cap,volume_24h,fetched_at
dogecoin,0.089735,13973728397.854887,2816985860.0465345,2026-08-22T11:09:55.534047+00:00
cardano,0.222737,8352289718.628075,1357541338.7519124,2026-08-22T11:09:55.534047+00:00
solana,92.99,54225945616.71418,8651921178.929789,2026-08-22T11:09:55.534047+00:00
bitcoin,77230,1549999559973.9355,54015991939.43358,2026-08-22T12:15:29.097955+00:00
ethereum,2431.18,293370758476.1959,29468785502.8848,2026-08-22T12:15:29.097955+00:00
dogecoin,0.090869,14120743919.739546,3024379936.431304,2026-08-22T12:15:29.097955+00:00
cardano,0.226,8468316677.161553,1428307518.1220126,2026-08-22T12:15:29.097955+00:00
solana,93.76,54684234165.867874,8562141055.188252,2026-08-22T12:15:29.097955+00:00
bitcoin,77139,1548386579618.5374,51602942931.38952,2026-08-22T13:22:58.790753+00:00
ethereum,2423.31,292449168127.7628,28782658431.60007,2026-08-22T13:22:58.790753+00:00
dogecoin,0.091221,14190332891.55487,2875888671.377728,2026-08-22T13:22:58.790753+00:00
cardano,0.225584,8444044418.45234,1353527165.6164703,2026-08-22T13:22:58.790753+00:00
solana,93.7,54641435422.01938,8518063487.576968,2026-08-22T13:22:58.790753+00:00
bitcoin,77065,1546353987819.145,49145503518.45399,2026-08-22T14:10:16.211983+00:00
ethereum,2419.02,291810647744.92883,27910517041.410614,2026-08-22T14:10:16.211983+00:00
dogecoin,0.090475,14061466330.526299,2870601602.1900463,2026-08-22T14:10:16.211983+00:00
cardano,0.224376,8397529380.207368,1393102083.1938949,2026-08-22T14:10:16.211983+00:00
solana,93.74,54642431784.12923,8111310767.889234,2026-08-22T14:10:16.211983+00:00
bitcoin,76999,1545546588144.2737,47109205119.75975,2026-08-22T15:09:18.272994+00:00
ethereum,2411.68,291068051425.77386,27271021146.59661,2026-08-22T15:09:18.272994+00:00
dogecoin,0.09012,14016700154.397657,2841290510.945996,2026-08-22T15:09:18.272994+00:00
cardano,0.223928,8394005609.656754,1314483375.893604,2026-08-22T15:09:18.272994+00:00
solana,93.17,54335084283.16956,8265924424.69287,2026-08-22T15:09:18.272994+00:00
bitcoin,77031,1546043873758.162,45344153304.49626,2026-08-22T16:09:36.997109+00:00
